ip,eventtimestamp,devicetype,event_type,product_type,userid,globalseq,prevglobalseq
66.249.1.34,1661891656095,computer,order_checkout,soundbars,17648473,3057432,3057431
66.249.1.34,1661891656095,computer,,,17648473,3057433,3057432
66.249.1.144,1661891656120,tablet,home_page,N/A,17649242,3057434,3057079
66.249.1.144,1661891656120,tablet,product_catalog,N/A,17649242,3057435,3057434
66.249.1.144,1661891656120,tablet,home_page,N/A,17649242,3057436,3057435
66.249.1.144,1661891656120,tablet,product_catalog,N/A,17649242,3057437,3057436
66.249.1.144,1661891656120,tablet,product_detail,soundbars,17649242,3057438,3057437
66.249.1.144,1661891656120,tablet,add_to_cart,soundbars,17649242,3057439,3057438
66.249.1.144,1661891656120,tablet,order,soundbars,17649242,3057440,3057439
66.249.1.144,1661891656120,tablet,order_checkout,soundbars,17649242,3057441,3057440
66.249.1.144,1661891656120,tablet,,,17649242,3057442,3057441
66.249.1.127,1661891656212,tablet,home_page,N/A,17650587,3057443,3057166
66.249.1.127,1661891656212,tablet,product_catalog,N/A,17650587,3057444,3057443
66.249.1.65,1661891656214,computer,home_page,N/A,17651569,3057456,3057261
66.249.1.127,1661891656212,tablet,product_detail,AirPods,17650587,3057445,3057444
66.249.1.127,1661891656212,tablet,product_catalog,N/A,17650587,3057446,3057445
66.249.1.127,1661891656212,tablet,product_detail,cameras,17650587,3057447,3057446
66.249.1.127,1661891656212,tablet,product_catalog,N/A,17650587,3057448,3057447
66.249.1.65,1661891656214,computer,product_catalog,N/A,17651569,3057457,3057456
66.249.1.65,1661891656214,computer,home_page,N/A,17651569,3057458,3057457
66.249.1.65,1661891656214,computer,product_catalog,N/A,17651569,3057459,3057458
66.249.1.127,1661891656212,tablet,home_page,N/A,17650587,3057449,3057448
66.249.1.127,1661891656212,tablet,product_catalog,N/A,17650587,3057450,3057449
66.249.1.65,1661891656214,computer,home_page,N/A,17651569,3057460,3057459
66.249.1.65,1661891656214,computer,product_catalog,N/A,17651569,3057461,3057460
66.249.1.65,1661891656214,computer,product_detail,cameras,17651569,3057462,3057461
66.249.1.127,1661891656212,tablet,product_detail,soundbars,17650587,3057451,3057450
66.249.1.127,1661891656212,tablet,add_to_cart,soundbars,17650587,3057452,3057451
66.249.1.65,1661891656214,computer,product_catalog,N/A,17651569,3057463,3057462
66.249.1.65,1661891656214,computer,product_detail,video games,17651569,3057464,3057463
66.249.1.65,1661891656214,computer,product_catalog,N/A,17651569,3057465,3057464
66.249.1.65,1661891656214,computer,product_detail,soundbars,17651569,3057466,3057465
66.249.1.65,1661891656214,computer,add_to_cart,soundbars,17651569,3057467,3057466
66.249.1.65,1661891656214,computer,order,soundbars,17651569,3057468,3057467
66.249.1.65,1661891656214,computer,order_checkout,soundbars,17651569,3057469,3057468
66.249.1.65,1661891656214,computer,,,17651569,3057470,3057469
66.249.1.127,1661891656212,tablet,order,soundbars,17650587,3057453,3057452
66.249.1.127,1661891656212,tablet,remove_from_cart,soundbars,17650587,3057454,3057453
66.249.1.127,1661891656212,tablet,,,17650587,3057455,3057454
66.249.1.188,1661891656257,mobile,home_page,N/A,17652398,3057471,3057208
66.249.1.188,1661891656257,mobile,product_catalog,N/A,17652398,3057472,3057471
66.249.1.188,1661891656257,mobile,home_page,N/A,17652398,3057473,3057472
66.249.1.188,1661891656257,mobile,product_catalog,N/A,17652398,3057474,3057473
66.249.1.188,1661891656257,mobile,product_detail,cell phones,17652398,3057475,3057474
66.249.1.188,1661891656257,mobile,product_catalog,N/A,17652398,3057476,3057475
66.249.1.188,1661891656257,mobile,product_detail,ear phones,17652398,3057477,3057476
66.249.1.188,1661891656257,mobile,product_catalog,N/A,17652398,3057478,3057477
66.249.1.188,1661891656257,mobile,product_detail,video games,17652398,3057479,3057478
66.249.1.188,1661891656257,mobile,add_to_cart,video games,17652398,3057480,3057479
66.249.1.188,1661891656257,mobile,remove_from_cart,video games,17652398,3057481,3057480
66.249.1.188,1661891656257,mobile,,,17652398,3057482,3057481
66.249.1.90,1661891656269,computer,home_page,N/A,17653809,3057483,3057271
66.249.1.90,1661891656269,computer,product_catalog,N/A,17653809,3057484,3057483
66.249.1.90,1661891656269,computer,home_page,N/A,17653809,3057485,3057484
66.249.1.90,1661891656269,computer,product_catalog,N/A,17653809,3057486,3057485
66.249.1.90,1661891656269,computer,home_page,N/A,17653809,3057487,3057486
66.249.1.90,1661891656269,computer,product_catalog,N/A,17653809,3057488,3057487
66.249.1.90,1661891656269,computer,home_page,N/A,17653809,3057489,3057488
66.249.1.90,1661891656270,computer,product_catalog,N/A,17653809,3057490,3057489
66.249.1.90,1661891656270,computer,product_detail,laptops,17653809,3057491,3057490
66.249.1.90,1661891656270,computer,add_to_cart,laptops,17653809,3057492,3057491
66.249.1.90,1661891656270,computer,remove_from_cart,laptops,17653809,3057493,3057492
66.249.1.90,1661891656270,computer,product_catalog,N/A,17653809,3057494,3057493
66.249.1.90,1661891656270,computer,product_detail,cell phones,17653809,3057495,3057494
66.249.1.90,1661891656270,computer,add_to_cart,cell phones,17653809,3057496,3057495
66.249.1.90,1661891656270,computer,order,cell phones,17653809,3057497,3057496
66.249.1.90,1661891656270,computer,remove_from_cart,cell phones,17653809,3057498,3057497
66.249.1.90,1661891656270,computer,,,17653809,3057499,3057498
66.249.1.68,1661891656335,mobile,home_page,N/A,17654499,3057500,3057237
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057501,3057500
66.249.1.68,1661891656335,mobile,home_page,N/A,17654499,3057502,3057501
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057503,3057502
66.249.1.68,1661891656335,mobile,home_page,N/A,17654499,3057504,3057503
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057505,3057504
66.249.1.68,1661891656335,mobile,home_page,N/A,17654499,3057506,3057505
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057507,3057506
66.249.1.68,1661891656335,mobile,product_detail,cameras,17654499,3057508,3057507
66.249.1.68,1661891656335,mobile,add_to_cart,cameras,17654499,3057509,3057508
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057510,3057509
66.249.1.68,1661891656335,mobile,product_detail,ear phones,17654499,3057511,3057510
66.249.1.68,1661891656335,mobile,add_to_cart,ear phones,17654499,3057512,3057511
66.249.1.68,1661891656335,mobile,product_catalog,N/A,17654499,3057513,3057512
66.249.1.68,1661891656335,mobile,product_detail,laptops,17654499,3057514,3057513
